reading_id,waterpoint_id,habitation,flow_ok,usage_count,recorded_at,status_label
43,WP005,Sundapatti,1,6,2026-07-20 06:30:00,working
44,WP005,Sundapatti,1,500,2026-07-20 06:45:00,working
45,WP005,Sundapatti,1,5,2026-07-20 07:00:00,working
46,WP005,Sundapatti,1,20,2026-07-20 07:15:00,working
47,WP005,Sundapatti,1,12,2026-07-20 07:30:00,working
48,WP005,Sundapatti,1,14,2026-07-20 07:45:00,working
49,WP005,Sundapatti,1,9,2026-07-20 08:00:00,working
50,WP005,Sundapatti,1,5,2026-07-20 08:15:00,working
51,WP006,Marudur,1,10,2026-07-20 06:00:00,working
52,WP006,Marudur,1,12,2026-07-20 06:15:00,working
53,WP006,Marudur,1,5,2026-07-20 06:30:00,working
54,WP006,Marudur,1,10,2026-07-20 06:45:00,working
55,WP006,Marudur,1,6,2026-07-20 07:00:00,working
56,WP006,Marudur,1,15,2026-07-20 07:15:00,working
57,WP006,Marudur,1,11,2026-07-20 07:30:00,working
58,WP006,Marudur,1,17,2026-07-20 07:45:00,working
59,WP006,Marudur,1,14,2026-07-20 08:00:00,working
60,WP006,Marudur,1,8,2026-07-20 08:15:00,working
61,WP007,Marudur,1,9,2026-07-20 06:00:00,working
62,WP007,Marudur,1,11,2026-07-20 06:15:00,working
63,WP007,Marudur,1,5,2026-07-20 06:30:00,working
64,WP007,Marudur,1,8,2026-07-20 06:45:00,working
65,WP007,Marudur,1,20,2026-07-20 07:00:00,working
66,WP007,Marudur,1,10,2026-07-20 07:15:00,working
67,WP007,Marudur,1,8,2026-07-20 07:30:00,working
68,WP007,Marudur,1,17,2026-07-20 07:45:00,working
69,WP007,Marudur,1,15,2026-07-20 08:00:00,working
70,WP007,Marudur,1,11,2026-07-20 08:15:00,working
71,WP008,Marudur,0,0,2026-07-20 06:00:00,down
72,WP008,Marudur,1,12,2026-07-20 06:15:00,working
73,WP008,Marudur,0,0,2026-07-20 06:30:00,down
74,WP008,Marudur,0,0,2026-07-20 06:45:00,down
75,WP008,Marudur,0,0,2026-07-20 07:00:00,down
76,WP008,Marudur,1,6,2026-07-20 07:15:00,working
77,WP008,Marudur,1,1,2026-07-20 07:30:00,working
78,WP008,Marudur,0,0,2026-07-20 07:45:00,down
79,WP008,Marudur,1,3,2026-07-20 08:00:00,working
80,WP008,Marudur,1,6,2026-07-20 08:15:00,working
81,WP009,Perumbakkam,1,2,2026-07-20 06:00:00,working
82,WP009,Perumbakkam,1,2,2026-07-20 06:15:00,working
83,WP009,Perumbakkam,,0,2026-07-20 06:30:00,down
84,WP009,Perumbakkam,1,11,2026-07-20 06:45:00,working
85,WP009,Perumbakkam,1,9,2026-07-20 07:00:00,working
86,WP009,Perumbakkam,1,5,2026-07-20 07:15:00,working
87,WP009,Perumbakkam,0,0,2026-07-20 07:30:00,down
88,WP009,Perumbakkam,0,0,2026-07-20 07:45:00,down
89,WP009,Perumbakkam,1,1,2026-07-20 08:00:00,working
90,WP009,Perumbakkam,0,0,2026-07-20 08:15:00,down
91,WP010,Perumbakkam,0,0,2026-07-20 06:00:00,down
92,WP010,Perumbakkam,0,0,2026-07-20 06:15:00,down
93,WP010,Perumbakkam,1,9,2026-07-20 06:30:00,working
94,WP010,Perumbakkam,0,0,2026-07-20 06:45:00,down
95,WP010,Perumbakkam,1,6,2026-07-20 07:00:00,working
96,WP010,Perumbakkam,1,8,2026-07-20 07:15:00,working
97,WP010,Perumbakkam,1,8,2026-07-20 07:30:00,working
98,WP010,Perumbakkam,0,0,2026-07-20 07:45:00,down
99,WP010,Perumbakkam,0,0,2026-07-20 08:00:00,down
100,WP010,Perumbakkam,1,12,2026-07-20 08:15:00,working
